,X,Y,Z,formation
0,189.151409,3.324575673,82.019165,gravely_layer
1,191.287749,32.55470618,83.331177,gravely_layer
2,174.4475245,51.72306568,82.413208,gravely_layer
3,183.1259824,-60.67048732,68.730652,gravely_layer
4,158.5441817,-2.333660267,74.293701,gravely_layer
5,184.2632923,-3.635834877,77.718689,gravely_layer
6,179.2187692,-56.06756017,78.134912,gravely_layer
7,158.931054,1.045986293,74.419373,gravely_layer
8,187.5093197,-5.815331727,78.870422,gravely_layer
9,204.2463095,10.47626284,88.454163,gravely_layer
10,194.6140508,26.33782831,83.578796,gravely_layer
11,184.9631484,42.37548038,83.227979,gravely_layer
12,189.151409,3.324575673,60.019165,clay_layer
13,191.287749,32.55470618,58.331177,clay_layer
14,174.4475245,51.72306568,67.413208,clay_layer
16,158.5441817,-2.333660267,51.293701,clay_layer
17,184.2632923,-3.635834877,56.718689,clay_layer
18,179.2187692,-56.06756017,59.534912,clay_layer
19,158.931054,1.045986293,55.419373,clay_layer
20,187.5093197,-5.815331727,62.370422,clay_layer
21,204.2463095,10.47626284,64.454163,clay_layer
22,194.6140508,26.33782831,63.578796,clay_layer
24,189.151409,3.324575673,54.019165,altered_bedrock
25,191.287749,32.55470618,51.831177,altered_bedrock
26,174.4475245,51.72306568,60.413208,altered_bedrock
27,183.1259824,-60.67048732,37.230652,altered_bedrock
28,158.5441817,-2.333660267,41.293701,altered_bedrock
29,184.2632923,-3.635834877,51.818689,altered_bedrock
30,204.2463095,10.47626284,56.454163,altered_bedrock
31,194.6140508,26.33782831,55.578796,altered_bedrock
32,160,-40,65,Main_Fault
33,170,-40,65,Main_Fault
34,180,-40,65,Main_Fault
35,190,-40,65,Main_Fault
36,200,-40,65,Main_Fault
37,160,-35,65,Dykes
38,170,-35,65,Dykes
39,180,-35,65,Dykes
40,190,-35,65,Dykes
41,200,-35,65,Dykes
42,160,-45,65,Dykes
43,170,-45,65,Dykes
44,180,-45,65,Dykes
45,190,-45,65,Dykes
46,200,-45,65,Dykes
